title,author,description,genres,rating,numRatings
Undertow,Michael Buckley,"Sixteen-year-old Lyric Walker’s life is forever changed when she witnesses the arrival of 30,000 Alpha, a five-nation race of ocean-dwelling warriors, on her beach in Coney Island. The world’s initial wonder and awe over the Alpha quickly turns ugly and paranoid and violent, and Lyric’s small town transforms into a military zone with humans on one side and Alpha on the other. When Lyric is recruited to help the crown prince, a boy named Fathom, assimilate, she begins to fall for him. But their love is a dangerous one, and there are forces on both sides working to keep them apart. Only, what if the Alpha are not actually the enemy? What if they are in fact humanity’s only hope of survival? Because the real enemy is coming. And it’s more terrifying than anything the world has ever seen.Action, suspense, and romance whirlpool dangerously in this cinematic saga, a blend of District 9 and The Outsiders.","['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Dystopia', 'Paranormal', 'Fiction', 'Urban Fantasy', 'Mermaids', 'Teen']",3.87,5734
Moolala: Why Smart People Do Dumb Things with Their Money - and What You Can Do About It,Bruce Sellery,"Smart, capable people are doing dumb things with their money. They can teach high school, write a marketing plan, navigate the Metro in Paris, file their own taxes, brew their own beer, program a PVR, and even raise teenagers. And still, these smart, capable people often do dumb things when it comes to their money. In Moolala, business journalist, professional coach, and popular speaker Bruce Sellery provides a simple, essential guide for those who, when it comes to managing their money, could use a spoonful of sugar to help the medicine go down.The goal of Moolala is simply stated: To inspire you to get a handle on your money so you can live the life you want. Through an engaging combination of interactive exercises, personal stories, and great practical advice, the book will take you through five simple and painless steps that will dramatically improve your financial well-being. Inspiring, informative, and fun, Moolala will transform the way you think about your money — and your life.","['Finance', 'Nonfiction', 'Personal Finance']",3.36,72
A Good Girl's Guide to Murder,Holly Jackson (Goodreads Author),"The case is closed. Five years ago, schoolgirl Andie Bell was murdered by Sal Singh. The police know he did it. Everyone in town knows he did it.But having grown up in the same small town that was consumed by the murder, Pippa Fitz-Amobi isn't so sure. When she chooses the case as the topic for her final year project, she starts to uncover secrets that someone in town desperately wants to stay hidden. And if the real killer is still out there, how far will they go to keep Pip from the truth?","['Mystery', 'Young Adult', 'Thriller', 'Contemporary', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Crime', 'Suspense', 'Murder Mystery']",4.33,34703
The Belly of Paris,"Émile Zola, Ernest Alfred Vizetelly (Translator)","Part of Emile Zola's multigenerational Rougon-Macquart saga, The Belly of Paris is the story of Florent Quenu, a wrongly accused man who escapes imprisonment on Devil's Island. Returning to his native Paris, Florent finds a city he barely recognizes, with its working classes displaced to make way for broad boulevards and bourgeois flats. Living with his brother's family in the newly rebuilt Les Halles market, Florent is soon caught up in a dangerous maelstrom of food and politics. Amid intrigue among the market's sellers—the fishmonger, the charcutiere, the fruit girl, and the cheese vendor—and the glorious culinary bounty of their labors, we see the dramatic difference between ""fat and thin"" (the rich and the poor) and how the widening gulf between them strains a city to the breaking point.","['Classics', 'Fiction', 'France', 'Food', 'French Literature', '19th Century', 'Historical Fiction', 'Literature', 'Novels', 'Classic Literature']",3.92,4336
The Invisible Friend,Lois Walfrid Johnson,"Deep in the Norwegian fjords the Viking ship comes to shore. Mikkel, the prideful young leader, is home, but Briana O'Toole faces a new, uncertain life. What will happen to her and the other Irish prisoners?Soon Bree feels sure that Mikkel is hiding a dark secret from his father. When Bree finds mysterious messages that seem meant for her, she longs to be what she is--the respected daughter of an Irish chieftain. But the cold winds of autumn sweep down the Aurland Fjord, and its people wait for the last ship out. Bree wonders, Can my brother Devin possibly bring ransom before winter?In the midst of a growing threat, will Bree and Devin find God's courage to win? Who is their invisible friend? And what does it mean to be truly free?","['Historical Fiction', 'Fiction', 'Christian', 'Historical', 'Adventure', 'Christian Fiction', 'Middle Grade', 'Childrens', 'Young Adult', 'Juvenile']",4.31,782
"Dragon Age, Volume 1","David Gaider, Chad Hardin (Illustrator), Anthony Palumbo (Illustrator), Michael Atiyeh (Illustrator)","Helping set the stage for BioWare's hotly anticipated ""Dragon Age: Inquisition,"" this deluxe oversized hardcover collects every Dark Horse Dragon Age comic to date--""The Silent Grove, Those Who Speak,"" and ""Until We Sleep""-- an epic trilogy complete in one volume, written by ""Dragon Age ""lead writer David Gaider! This edition also features extensive annotations from the creators of the comics as well as a section of never-before-seen related material.","['Fantasy', 'Comics', 'Graphic Novels', 'Video Games', 'Fiction', 'Games', 'Adult', 'Graphic Novels Comics', 'High Fantasy', 'Comics Manga']",4.26,550
Heba,Hasan Ali Toptaş,"“İnceldiğinde, çeşitli sebeplerle delindiği de olur uykunun. Ne bileyim, bazen zihnimizdeki sivri uçlu bir hatıra deler onu; bazen henüz hazmedemediğimiz bir sözün acısı, bazen kolu bacağı aklımızın dışında kalan bir düşünce yahut bir duygu, bazen de etrafımızda olup biten, bizim fark edemediğimiz meçhul bir şey deler. İşte o vakit delinen yerden içerisi görünmez ama dışarısı görünür. Hakikat oradan gerçekte olduğu gibi görünmez tabii; uykunun sisi yüzünden, kendisinin biraz berisinde yahut gerisinde görünür.” Sise benzemeyen tuhaf bir sisin içindeydi şehir. On dokuzuncu katın hizasında “ben gerçeğim” diyen bir güvercin kanat çırpıyordu. Binnaz Hanım’ın tombul elleri vardı. Ucu bucağı görünmeyen bir boşluğa düştü Ziya. Hışır hışır öten naylon şeritler. Te ilerde Suriye! Kaldır başını! Huoop! Yüzü çilli bir çocukluk. Efil efil tüten bir pişmanlık. Hiç işte, hiçbir şey olmadı. “Şikâyetçi misin?” “Değilim Komutanım.” Kolonya, limontuzu ve su. Bakma öyle karanlıkta Mensur. Aynalı kahve. Güzel Nefise. Kim o uzaktaki adam? Tufana emanet bir dünya. Her kötülük, bir iyiliğin içine akıyor işte... Heba, göz gözü görmez insafsızlığın, doğruya benzemeye muvaffak olan yalanın, utanmazlığın, lincin, kıstırılmışlığın romanı. Edebiyatın kirişlerini çatlatan büyük bir yazardan yalnızlığın, pişmanlığın, askerliğin, heder olmuş bir ömrün romanı. İpek kadar yumuşak ve ipek kadar sağlam.Sadık okurları için yeni keşifler sunacak, yeni tanışanları sadık okurlara dönüştürecek bir Hasan Ali Toptaş romanı...","['Turkish Literature', 'Fiction', 'Turkish', 'Literature', 'Novels', 'Contemporary']",4.27,1214
The Naturals,Jennifer Lynn Barnes (Goodreads Author),"Seventeen-year-old Cassie is a natural at reading people. Piecing together the tiniest details, she can tell you who you are and what you want. But it’s not a skill that she’s ever taken seriously. That is, until the FBI come knocking: they’ve begun a classified program that uses exceptional teenagers to crack infamous cold cases, and they need Cassie.What Cassie doesn’t realize is that there’s more at risk than a few unsolved homicides—especially when she’s sent to live with a group of teens whose gifts are as unusual as her own. Sarcastic, privileged Michael has a knack for reading emotions, which he uses to get inside Cassie’s head—and under her skin. Brooding Dean shares Cassie’s gift for profiling, but keeps her at arm’s length.Soon, it becomes clear that no one in the Naturals program is what they seem. And when a new killer strikes, danger looms closer than Cassie could ever have imagined. Caught in a lethal game of cat and mouse with a killer, the Naturals are going to have to use all of their gifts just to survive.","['Mystery', 'Young Adult', 'Thriller', 'Contemporary', 'Crime', 'Romance', 'Fiction', 'Mystery Thriller', 'Suspense', 'Paranormal']",4.16,28401
Challenger Deep,Neal Shusterman (Goodreads Author),"Alternate Cover Edition for ASIN B00M70ESPOCaden Bosch is on a ship that's headed for the deepest point on Earth: Challenger Deep, the southern part of the Marianas Trench.Caden Bosch is a brilliant high school student whose friends are starting to notice his odd behaviour.Caden Bosch is designated the ship's artist in residence to document the journey with images.Caden Bosch pretends to join the school track team but spends his days walking for miles, absorbed by the thoughts in his head.Caden Bosch is split between his allegiance to the captain and the allure of mutiny.Caden Bosch is torn.","['Young Adult', 'Contemporary', 'Fiction', 'Mental Health', 'Mental Illness', 'Realistic Fiction', 'Audiobook', 'Teen', 'Psychology', 'Young Adult Contemporary']",4.14,20451
Snowfire,Phyllis A. Whitney,"Eager to clear her step-brother of a murder charge, Linda Earle comes to a snow-covered ski resort in the Northeast, where she finds herself in a unique world of icy weather and fiery passions. In this new novel of romantic suspense Phyllis A. Whitney follows her young heroine into the storm of conflicting emotions that surrounds Greystones, a brooding Norman-style mansion with a foreboding past.The master of Greystones is Julian McCabe, a champion skier whose career was cut short by a tragic accident. He has been teacher and sponsor to Linda's talented step-brother. But now this promising young athlete is in jail, accused in the bizarre death of Julian's wife.Linda soon discovers that this death has cast its shadow over all the residents of Greystones. Julian's ethereal sister is full of tales of reincarnation and visions of more death. And his eight-year-old daughter is haunted by fear and guilt.A severe blizzard, a dangerous encounter in a stone tower, and a death on the slopes lead Linda to a discovery she has never expected. These, along with the striking characters that have always marked Phyllis Whitney as a true mistress of the genre, are some of the elements that she weaves into this spellbinding tale of romance and suspense.","['Mystery', 'Gothic', 'Romance', 'Fiction', 'Romantic Suspense', 'Suspense', 'Gothic Romance', 'Cozy Mystery', 'Mystery Thriller', 'Historical Romance']",3.78,928
"Audrey, Wait!",Robin Benway (Goodreads Author),"EVERYBODY'S SINGING, ""AUDREY, WAIT!""Audrey Cuttler's life hasn't been the same since that song, ""Audrey, Wait!"" hit the airwaves. All she wants to do is go to concerts, hang out with her friends, and maybe score a date with the cute boy who works with her at the Scooper Dooper.But now, her ex-boyfriend's song about their breakup is at the top of the charts and she's suddenly famous! The paparazzi won't leave her alone, the tabloids are trying to make her into some kind of rock goddess, and the Internet is documenting her every move!Will Audrey ever be able to have a normal life again? Get ready to find out, because it's time for Audrey to tell her side of the story.","['Young Adult', 'Contemporary', 'Romance', 'Music', 'Fiction', 'Realistic Fiction', 'Teen', 'Chick Lit', 'Humor', 'Young Adult Contemporary']",3.76,14585
The Choirboys,Joseph Wambaugh (Goodreads Author),"Partners in the Los Angeles Police Department, they’re haunted by terrifying dark secrets of the nightwatch–shared predawn drink and sex sessions they call choir practice. Each wears his cynicism like a bulletproof jockstrap–each has his horror story, his bad dream, his night shriek. He is afraid of his friends–he is afraid of himself.","['Fiction', 'Crime', 'Mystery', 'Thriller', 'Mystery Thriller', 'Humor', 'Police', 'Novels', 'Detective', 'True Crime']",4.05,4933
Dublörün Dilemması,Murat Menteş,"""Murat Menteş, okumacı, tartışmacı, kavgacı, yani kışkırtıcı bir yazar arkadaşım. Onunla çekişirken çiçek açarsınız. Yazarlık macerasını ben de merakla izliyorum. Peşinen söyleyeyim, fiktif, tümden hayal ürünü metinler sevmem, fakat Murat Menteş'in birbiri peşi sıra kurduğu cümlelerin gücü, benim kendimce şikayetimi kuruntuya dönüştürdü. Ben, Murat'ın yaşındayken kelimelerle kasap gibi boğuşuyordum; Murat aksine, kelimeleri kırbaçlayıp cümleler içinde düzene sokuyor ve bunu pek mahirce başarıyor. Bu yüzden Dublörün Dilemması çok canlı, renkli, inceden felsefi çığlıklarla bezeli bir kitap ve hızla yaklaşan bir yazarı işaretliyor... Böyledir, edebiyat kavgayla başlar, huzurla sona erer derler; gerçi ben görmedim, hayırlısı Murat için olsun!.."" - Nihat Genç""Çok acayip. Çok tuhaf. Müthiş!.. Böyle bir kitabın yazıldığına inanamıyorum. Okuyun, siz de inanamayacaksınız!"" - Hakan Albayrak""Dublörün Dilemması ilginç, heyecanlı, eğlenceli, derinlikli bir roman. Ama galiba en önemli özelliği, bize sözcüklerin gücünü hatırlatması. Hiperaktif bir zekanın ürünü, bu baş döndürücü macerayı okumak büyük keyif! Ben sevdim eller alsın."" - Alper Canıgüz","['Turkish Literature', 'Fiction', 'Turkish', 'Novels', 'Roman', 'Adult', 'Royal Air Force']",3.99,5466
"El día que se perdió la cordura, Parte 1",Javier Castillo (Goodreads Author),"En el centro de Boston, a las 12 de la mañana de un 24 de diciembre, un hombre camina desnudo con la cabeza decapitada de una joven. El Dr. Jenkins, director del centro psiquiátrico de la ciudad, y Stella Hyden, agente de perfiles del FBI, se adentrarán en una investigación que pondrá en juego sus vidas, su concepción de la cordura, y que viajará atrás 17 años hasta unos eventos fortuitos ocurridos en el misterioso pueblo de Salt Lake. ""Narrada magistralmente a tres tiempos, el autor nos sumerge a ritmo de thriller en una historia de amor y odio a partes iguales, en la que se exploran los extremos del ser humano"" IMPORTANTE: Antes de comprar la primera parte, comprueba el precio de la VERSIÓN COMPLETA del libro, que incluye la 1ª, la 2ª y la 3ª parte. (Buscar ""el día que se perdió la cordura libro completo""). Frecuentemente se están lanzando promociones para la compra del libro a un precio promocional, y estas promociones siempre contemplan un precio más bajo que adquirir las tres partes por separado.",[],3.98,105
Off Grid,Backwoods (Goodreads Author),"[image] If the world you know today were gone tomorrow, would you survive?Johnny & Rae Lynn Tapper find safety in solitude, hidden deep within the shelter of the Rocky Mountains. Terrorists have taken away the country they once knew and they survive, secluded and alone, by living off the land. They live wild new lives in a wild new world, living among the wild animals of the vast Colorado wilderness. There are no phones. There is no power. There are few people. They are completely 'Off Grid'.Excerpt:“The screeching and squawking had me searching around the birds at four in the morning. I was equipped with a flashlight, a shotgun, my boxers and boots. Had I known I would encounter the wolves, I would have gotten dressed and come better armed.”-Off Grid-Contains violence, drug use and profanity. Not suitable for children. Thank you, ~Backwoods~",[],3.76,17
Ambereye,Gill McKnight (Goodreads Author),"Hope Glassy loves her job at Ambereye, Inc., despite having Jolie Garoul as her new boss. Jolie is a moody workaholic. She is awkward, contrary, and on occasion, just plain mean. Hope is hardworking, popular, and in recovery from a serious illness. She doesn't need a bizarre boss. She doesn't need to work over Thanksgiving either. Nevertheless, that's what she and Jolie end up doing...in Little Dip, home of the Garoul clan. An important meeting brings them to the valley where it's assumed Jolie has brought her chosen mate to meet her pack. Much to her consternation, Jolie finds she likes this idea, but Hope has no time for romance. She is eager to get her life on track and her health and career back to normal. Jolie is determined to change her mind, but how does a lycanthrope woo a human? A small, super-efficient, bossy to boots human at that? The second in the Garoul Series.","['Lesbian', 'Fantasy', 'LGBT', 'Paranormal', 'Romance', 'Urban Fantasy', 'Lesbian Romance', 'Werewolves', 'Lesbian Fiction', 'Supernatural']",4.2,1581
All You Zombies,Robert A. Heinlein,"First published in The Magazine of Fantasy and Science Fiction - March, 1959 - the story involves a number of paradoxes caused by time travel. It further develops themes explored by the author in a previous work, ""By His Bootstraps"", published some 18 years earlier.","['Science Fiction', 'Short Stories', 'Time Travel', 'Fiction', 'Classics', 'Fantasy', 'Science Fiction Fantasy', 'Speculative Fiction', 'Mystery', 'American']",4.08,5199
"They Marched Into Sunlight: War And Peace, Vietnam And America, October 1967",David Maraniss (Goodreads Author),"Here is the epic story of Vietnam and the sixties told through the events of a few gripping, passionate days of war and peace in October 1967. They Marched Into Sunlight brings that tumultuous time back to life while exploring questions about the meaning of dissent and the official manipulation of truth, issues as relevant today as they were decades ago.In a seamless narrative, Maraniss weaves together the stories of three very different worlds: the death and heroism of soldiers in Vietnam, the anger and anxiety of antiwar students back home, and the confusion and obfuscating behavior of officials in Washington. To understand what happens to the people in these interconnected stories is to understand America's anguish. Based on thousands of primary documents and 180 on-the-record interviews, the book describes the battles that evoked cultural and political conflicts that still reverberate.","['History', 'Nonfiction', 'War', 'American History', 'Military Fiction', 'Politics', 'Military History', 'Historical', 'College', 'Research']",4.18,1681
Secret of the Slaves,"Alex Archer (pseudonym), Victor Milán","When archaeologist Annja Creed is hired to find the lost city of Promise in Brazil, she is more than intrigued. Legends abound of a magical place where slaves were rumored to have discovered the secret to eternal youth and life. But strangers are not welcome in Promise.Annja soon learns that the residents have gone to extreme lengths to guard their precious secret. Making her way from the steamy port of Belem to the brutal slums of Northeast Brazil, Annja faces unexpected peril, from poisoned arrows to Amazonian anacondas. As she navigates through a land where spirituality collides with the material world, Annja must distinguish between what is real and what is imagined for fear of making a wrong move. Because anyone or any""thing"" could be her enemy.And she's getting too close....","['Fantasy', 'Adventure', 'Fiction', 'Urban Fantasy', 'Action', 'Mystery', 'Archaeology', 'Paranormal', 'Supernatural', 'Contemporary']",3.7,731
Eragon & Eldest,Christopher Paolini (Goodreads Author),"In the #1 ""New York Times"" bestselling novels ""Eragon"" and ""Eldest,"" fifteen year-old Eragon discovers his destiny as a Dragon Rider. With only an ancient sword and the advice of an old storyteller for guidance, Eragon and his dragon must navigate the dangerous terrain and dark enemies of an Empire ruled by a king whose evil knows no bounds. This beautiful boxed set includes books I and II in the Inheritance trilogy.","['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'Teen', 'Science Fiction Fantasy', 'Action', 'Epic Fantasy']",4.3,25656
Dynasty of Ghosts,P.L. Nunn,"Illya has always been different - fey, quiet, and cursed with the ability to see the lingering spirits of the dead. A younger son of a younger son from a backwater mountain province, he is a nobody in the king’s army until he comes to the notice of the Prince Knight himself, the spoiled, stubborn heir to the kingdom of Aldania.Caught up in a war that has raged for generations between Aldania and a neighboring kingdom, captured and imprisoned by a mad king, Illya and Prince Ashe discover a history of lies, betrayal and assassination, and the ghostly truth beneath it all. Opposites in every way, they forge a common bond that pain, war and betrayal will test to the very limit of their strength. To end a dynasty of madness and suffering, Illya must embrace the ability he has always hated, and look to the dead for answers.","['Fantasy', 'M M Romance', 'Romance', 'Paranormal', 'Ghosts', 'M M Fantasy', 'Gay', 'LGBT', 'Magic', 'Abuse']",3.92,1451
Adulthood Is a Myth,Sarah Andersen (Goodreads Author),"Are you a special snowflake? Do you enjoy networking to advance your career? Is adulthood an exciting new challenge for which you feel fully prepared? Ugh. Please go away.This book is for the rest of us. These comics document the wasting of entire beautiful weekends on the internet, the unbearable agony of holding hands on the street with a gorgeous guy, dreaming all day of getting home and back into pajamas, and wondering when, exactly, this adulthood thing begins. In other words, the horrors and awkwardnesses of young modern life.","['Graphic Novels', 'Comics', 'Humor', 'Nonfiction', 'Graphic Novels Comics', 'Adult', 'Comedy', 'Contemporary', 'Comic Book', 'Art']",4.12,103839
Berserk,Tim Lebbon (Goodreads Author),"Those who go for cold, queasy horror will embrace the latest shocker from Stoker-winner Lebbon (Fears Unnamed). When a dangerous military experiment on England's Salisbury Plain goes fatally awry, the authorities hastily and secretly bury the bodies of a dozen soldiers and a few other victims. The body of one soldier, Steven, is supposedly returned to his parents, but the coffin is empty. Ten years later, Steven's still grieving father, Tom, locates the place of burial. But when Tom excavates the site, he discovers not his son's remains but the moldering corpse of a little girl animated by a peculiar form of life. Lots more nastiness follows. Fans who prefer their horror to have a sense of humanity should look elsewhere.","['Horror', 'Zombies', 'Fiction', 'Paranormal', 'Mystery', 'Vampires', 'Fantasy', 'Adult Fiction', 'Novels', 'Science Fiction']",3.67,1843
Njal's Saga,"Anonymous, Robert Cook (Editor/Translator)","Written in the thirteenth century, Njal's Saga is a story that explores perennial human problems-from failed marriages to divided loyalties, from the law's inability to curb human passions to the terrible consequences when decent men and women are swept up in a tide of violence beyond their control. It is populated by memorable and complex characters like Gunnar of Hlidarendi, a powerful warrior with an aversion to killing, and the not-so-villainous Mord Valgardsson. Full of dreams, strange prophecies, violent power struggles, and fragile peace agreements, Njal's Saga tells the compelling story of a fifty-year blood feud that, despite its distance from us in time and place, is driven by passions familiar to us all. This Penguin Classics edition includes an introduction, chronology, index of characters, plot summary, explanatory notes, maps, and suggestions for further reading.","['Classics', 'Fiction', 'Mythology', 'Medieval', 'Literature', 'Poetry', 'Historical Fiction', 'Scandinavian Literature', 'Epic', 'Fantasy']",3.97,4112
Water Music,"T. Coraghessan Boyle (Goodreads Author), James R. Kincaid (Goodreads Author) (contributor)","Alternate Cover Edition can be found here and here.T.C. Boyle's riotous first novel, now in a new edition for its 25th anniversary Twenty five years ago, T.C. Boyle published his first novel, Water Music, a funny, bawdy, extremely entertaining novel of imaginative and stylistic fancy that announced to the world Boyle's tremendous gifts as a storyteller. Set in the late eighteenth century, Water Music follows the wild adventures of Ned Rise, thief and whoremaster, and Mungo Park, a Scottish explorer, through London's seamy gutters and Scotland's scenic highlands to their grand meeting in the heart of darkest Africa. There they join forces and wend their hilarious way to the source of the Niger.","['Fiction', 'Historical Fiction', 'Africa', 'Adventure', 'Literature', 'The United States Of America', 'Novels', 'Historical', 'Roman', 'Literary Fiction']",4.18,4117
